labels,Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link
LEAP1T1,Trade Database (Postgres),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A normalised Postgres schema is the transactional record of what a customer asked for and what happened next. \\ * Accounts, instruments, orders and positions are modelled from the domain, version controlled as migrations, and rebuildable from the files alone. \\ * Constraints, indexes, historical trade structures, an ER diagram and seed data are in place, and every team member can walk the model unaided. \\  \\ *Notes:* \\  \\ * Nothing is handed over. There is no transactional schema in contracts/, because the modelling is the assessment. Read sprint-03-trade-database/README.md for the domain. \\ * Read contracts/trade-api.yaml while you design. It is the contract the Sprint 6 service satisfies out of this database, and a schema that cannot serve it is the wrong schema. \\ * The analytical store is a separate concern. contracts/analytics-schema.sql is read in Sprint 4 and loaded in Sprint 7. It is plain ANSI SQL and it runs on DuckDB, which is the platform analytical store. \\ * Security focus: parameterised access from Sprint 6 onwards (OWASP A03), domain rules enforced by constraints rather than hoped for in application code, least-privilege database roles, no credentials in connection config.",Sprint 3,S3 Trade Database,
LEAP1T1,Conceptual Data Model and ER Diagram,Story,High,"*Acceptance Criteria:* \\  \\ * Entities, attributes, keys, cardinality and optionality are identified from the domain brief rather than copied from a table list. \\ * One ER diagram is committed under design/ and every member of the team can walk the whole of it unaided. \\  \\ *Tasks:* \\  \\ Identify the entities the domain requires: accounts, instruments, orders and positions, and the relationships between them. \\ Decide the cardinality and optionality of every relationship and be ready to say where each came from. \\ Commit the diagram as Mermaid in design/er-diagram.md, or as an exported image in design/. Commit the export, not a link to a cloud document. \\ Commit a short data dictionary alongside it. \\  \\ *Notes:* \\  \\ * Mermaid is the better choice: it diffs in review and it cannot drift out of the repository. \\ * The review walks the diagram against the migrations. Update it when the schema moves.",Sprint 3,,S3 Trade Database
LEAP1T1,Normalisation to Third Normal Form,Story,High,"*Acceptance Criteria:* \\  \\ * The schema is in third normal form with no redundant or transitive dependencies. \\ * Any deliberate denormalisation is documented with the reason for it. \\  \\ *Tasks:* \\  \\ Work the model through first, second and third normal form and record what moved at each step. \\ Write the normalisation notes into design/ so the reasoning can be reviewed rather than inferred. \\ Where you denormalise on purpose, name the query that justifies it and the write cost you accepted.",Sprint 3,,S3 Trade Database
LEAP1T1,"Entities, Lifecycles and Constraints as Migrations",Story,High,"*Acceptance Criteria:* \\  \\ * Numbered migration files under migrations/ create the schema, apply in filename order, and rebuild the database from the files alone. \\ * Foreign keys and check constraints enforce the domain rules, including at least three check constraints, one of them covering account state. \\ * Money is represented exactly, never as binary floating point. \\  \\ *Tasks:* \\  \\ Model the account lifecycle so that ACTIVE trades, SUSPENDED can be read and cannot trade, and CLOSED never trades again and is never deleted. \\ Model the order lifecycle so that an order starts at NEW and reaches exactly one terminal state of FILLED, REJECTED or CANCELLED, and rejected orders are retained. \\ Model an instrument that can stop being tradable without ceasing to exist, so that old orders still resolve and new ones are refused. \\ Give the account row a way for a second concurrent writer to discover that it lost rather than overwriting the first. \\ Choose exact numeric types for cash balances and prices and apply them consistently. \\ Number migrations from 001_ and treat an applied migration as immutable once the design review has happened. Change the schema by adding 002_, 003_ and so on. \\ Copy the migration and seed files into infra/postgres/ so a fresh docker compose up -d builds the database unattended from Sprint 6. \\  \\ *Notes:* \\  \\ * Apply everything with one command that wipes and rebuilds from the files, and run it often. A schema that only works because of something a teammate typed into psql on Tuesday will not survive the showcase. \\ * Positions are derived state and are stored anyway, because the dashboard cannot replay an order history on every page load. Be able to demonstrate the reconciliation.",Sprint 3,,S3 Trade Database
LEAP1T1,Idempotency Key Enforced by the Database,Story,High,"*Acceptance Criteria:* \\  \\ * A unique constraint covers the order idempotency key, and a duplicate insert is refused by the database. \\  \\ *Tasks:* \\  \\ Carry a client-generated idempotency key on every order and make it unique across all orders forever. \\ Enforce the uniqueness with a database constraint rather than a read followed by an insert. \\ Be able to show the refusal: insert one valid order twice with the same key, and show the second insert failing with SQLSTATE 23505. \\  \\ *Notes:* \\  \\ * Read then insert is not enforcement. Two concurrent requests both read nothing and both insert, and the customer has bought twice. \\ * Sprint 6 depends on that failure being detectable, and Sprint 7 depends on it again from a different process. Design for it now.",Sprint 3,,S3 Trade Database
LEAP1T1,Indexes Justified Against the Named Queries,Story,Medium,"*Acceptance Criteria:* \\  \\ * At least three indexes exist that are not primary key or constraint indexes, and each is justified by one of the seven named queries. \\ * The justifications are committed in design/indexes.md. \\  \\ *Tasks:* \\  \\ Write the seven queries in the brief as SQL and run them against your seeded database. \\ Read the plan with EXPLAIN ANALYZE before and after adding each index. \\ Write a justification that names the query, states what the plan does with and without the index, and says what the index costs on write. \\ Where a key you already declared serves a query with no new index, write that down with the plan that proves it. It is a real finding and it does not count towards the three. \\  \\ *Notes:* \\  \\ * An index is paid for on every insert and every update to the columns it covers, and orders is the most write-heavy table you have. No index goes in without a query behind it. \\ * It seemed likely to help is not a justification.",Sprint 3,,S3 Trade Database
LEAP1T1,Historical Trade Data Structures,Story,Medium,"*Acceptance Criteria:* \\  \\ * Structures retaining the detail of what was executed, when and at what achieved price exist alongside the operational tables. \\ * How they are populated and how they are queried is documented. \\  \\ *Tasks:* \\  \\ Design structures the Sprint 7 extract can pull incrementally, without scanning the whole history every night. \\ Document the population path and the query path in design/. \\  \\ *Notes:* \\  \\ * This is the operational side of the boundary. The analytical star schema in contracts/analytics-schema.sql is the other side, and it is loaded in Sprint 7. \\ * The decision to record, and the reason for it, matters more than the volume of rows you load.",Sprint 3,,S3 Trade Database
LEAP1T1,Seed Data,Story,Medium,"*Acceptance Criteria:* \\  \\ * Seed data loads with one command after the migrations and covers active, suspended and closed accounts. \\ * Every one of the seven named queries returns something against the seeded database. \\  \\ *Tasks:* \\  \\ Seed accounts in all three states, including one with a balance too small to afford a realistic order. \\ Seed several instruments, including at least one that is not an equity and at least one that is no longer tradable. \\ Seed orders spanning more than one lifecycle state, including at least one that was rejected. \\ Seed holdings on more than one account, consistent with the filled orders that produced them. \\ Use symbols the Fauxnance API actually serves, so quotes resolve in Sprint 7 without a second pass over your fixtures. \\  \\ *Notes:* \\  \\ * Sprint 4 and Sprint 7 both read this data. Thin seed data is a fortnight of friction later.",Sprint 3,,S3 Trade Database
LEAP1T1,"Both Constraint Refusals, Proved from a Clean Rebuild",Story,Medium,"*Acceptance Criteria:* \\  \\ * A second insert carrying an idempotency key that already exists is refused by the database with SQLSTATE 23505, and an insert referencing a parent row that does not exist is refused with SQLSTATE 23503. \\  \\ *Tasks:* \\  \\ Build a scratch database, apply every migration and seed file to it, run both inserts against it and drop it. Your working database is never touched. \\ Keep both inserts beside the migrations, so anyone on the team can reproduce either refusal. \\ Fix whatever does not refuse, and rerun until both do. \\  \\ *Notes:* \\  \\ * Both refusals belong to the database. An application check that produces the same message is a different thing, and it stops holding the moment a second process writes. \\ * Getting both is necessary and not sufficient. Neither tells you whether the schema is in third normal form, whether an index is justified or merely present, or whether your team can explain any of it. The design review is the assessment.",Sprint 3,,S3 Trade Database
LEAP1T1,Analytics and the Ingestion Pipeline (Python),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A Python dashboard states at least three business claims, each supported by a chart a non-technical reader can read unaided. \\ * Ingestion is structured as three separable extract, transform and load functions, with pytest over at least the transform. \\ * Market data is pulled from the Fauxnance API with the key read from the environment, and rate limits and errors are handled by class rather than by a bare try block. \\  \\ *Notes:* \\  \\ * The source this week is market data because the platform has no order flow yet. In Sprint 7 the same three functions are pointed at the platform's own trades and load the star schema. Build it as though the source were going to change, because it is. \\ * contracts/analytics-schema.sql is the analytical model. It is plain ANSI SQL and runs unchanged on DuckDB, the platform analytical store: one file on disk, no server, no account and no credentials. What is assessed is the model and the load, not the store. \\ * Fauxnance serves end-of-day candles and delayed quotes over HTTP. There is no stream, and the quota is 2000 requests per day per key. \\ * Security focus: validation and data-quality decisions (OWASP A08), safe handling of financial data, and a key that never reaches the repository.",Sprint 4,S4 Analytics & ETL,
