labels,Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link
LEAP1T1,Trade Database (Postgres),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A normalised Postgres schema for accounts, instruments, orders and positions is designed by the team and version controlled as numbered migration files. \\ * One command takes an empty database to fully migrated and seeded, loading the seed data the team wrote. \\ * An ER diagram, index justifications and the historical trade data design are committed, and every team member can walk the model unaided. \\  \\ *Notes:* \\  \\ * This is the platform's memory. Sprint 6 writes orders to it, Sprint 7 settles against it, Sprint 9 renders what it returns. \\ * No schema file ships in contracts/ and no starter code ships on this branch. Contracts and infrastructure are provided; the migrations, the seed data, the apply command and the design documents are yours. \\ * Fundamentals of business software development are recapped inside this sprint rather than taught from scratch. \\ * Historical trade data is delivered as a documented design in DESIGN.md, not as built tables. \\ * Security focus: constraints enforced by the database rather than hoped for in application code, least-privilege roles for the application connection, no secrets in connection config (OWASP A03).",Sprint 3,S3 Trade Database,
LEAP1T1,Conceptual Data Model & ER Diagram,Story,High,"*Acceptance Criteria:* \\  \\ * Entities, attributes and relationships for the trading domain are identified from the domain brief rather than copied from a table list. \\ * One ER diagram in design/ shows every entity, its attributes, its keys, and the cardinality and optionality of every relationship. \\  \\ *Tasks:* \\  \\ Read the domain section of the sprint brief before drawing anything, including the entity states your seed data has to cover; that coverage list is a second description of the domain. \\  \\ Identify the entities and model the cardinality and optionality between them. \\  \\ Commit the diagram as Mermaid in design/er-diagram.md, or as an exported image, alongside a short data dictionary. \\  \\ *Notes:* \\  \\ * Mermaid is the better choice because it diffs in review and cannot drift out of the repository. \\ * Every member walks the whole diagram unaided at the review, not the part they drew.",Sprint 3,,S3 Trade Database
LEAP1T1,Normalised Relational Schema (1NF to 3NF),Story,Medium,*Acceptance Criteria:* \\  \\ * The schema is in third normal form with no redundant or transitive dependencies. \\ * Any deliberate denormalisation is documented in design/ with the reason for it. \\  \\ *Tasks:* \\  \\ Translate the ER diagram into a normalised relational design. \\  \\ Record the normalisation notes and any justified denormalisation in design/. \\  \\ *Notes:* \\  \\ * Third normal form is mandatory for this run and is not traded away for time.,Sprint 3,,S3 Trade Database
LEAP1T1,"Schema Migrations, Keys and Constraints",Story,High,"*Acceptance Criteria:* \\  \\ * The schema is created by numbered .sql files in migrations/, applied in filename order, and the database can be rebuilt from those files alone. \\ * Foreign keys and check constraints enforce the domain rules, including a unique constraint on the order idempotency key. \\ * At least three check constraints exist, one of them covering account state. \\  \\ *Tasks:* \\  \\ Create migrations/ and number the files from 001_, three digits, so the number is the order. \\  \\ Model the three account states, the reversible suspension and the closed account that is never deleted. \\  \\ Model an instrument that has stopped trading without removing the row, so that old orders still resolve. \\  \\ Record an order when it is received and allow exactly one terminal state; there is no half-filled state. \\  \\ Enforce idempotency with a database constraint rather than a read followed by a write, because two concurrent requests both pass a read-then-write check. \\  \\ Carry a version on the account row so that the second writer of a concurrent balance update discovers that it lost. \\  \\ Choose types that represent money exactly and apply them consistently. \\  \\ *Notes:* \\  \\ * Editing a migration in place is fine until the first design review. After it, change the schema by adding 002_, 003_ and so on: from Sprint 6 your teammates have databases with data in them. \\ * Sprint 6 depends on the unique violation being detectable, so design for that failure now.",Sprint 3,,S3 Trade Database
LEAP1T1,One-Command Apply Script,Story,High,"*Acceptance Criteria:* \\  \\ * One command takes an existing empty database to fully migrated and seeded, without prompting. \\ * The command reads its target from TARGET_DATABASE, falling back to POSTGRES_DB from the repository .env, and exits non-zero the moment anything fails. \\ * The command runs from the sprint folder with nothing else set for it, and the sprint README records what it is. \\  \\ *Tasks:* \\  \\ Write the apply command as a shell script around psql, a Python script or a Makefile target; any of the three is acceptable. \\  \\ Apply every file in migrations/ in filename order, then load every data file in seed/. \\  \\ Pass -v ON_ERROR_STOP=1 to psql, or a half-applied migration reports an error, carries on and exits zero. \\  \\ Fail the load rather than skipping a row that cannot be mapped, or a mapping bug becomes missing data nobody notices until Sprint 4 plots it. \\  \\ Copy the migration and seed loading into infra/postgres/ so that a fresh database container builds itself unattended from Sprint 6, following the initialisation convention in infra/postgres/README.md. \\  \\ *Notes:* \\  \\ * A command that works only after three variables have been exported by hand will fail for your teammates too. \\ * Run it often. A schema that only works because of something a teammate typed into psql on Tuesday will not survive the showcase.",Sprint 3,,S3 Trade Database
LEAP1T1,Author the Seed Data,Story,Medium,"*Acceptance Criteria:* \\  \\ * Seed data written by the team loads with one command after the migrations, in full, with referential integrity intact. \\ * It covers the entity states the rest of the programme depends on: accounts in all three states including one holding too little cash to afford a realistic order, an instrument that no longer trades, orders across the lifecycle states including at least one rejection, and holdings that reconcile against the filled orders that produced them. \\  \\ *Tasks:* \\  \\ Write the seed files into seed/ with a short data dictionary beside them, and decide the load order the foreign keys force on you. \\  \\ Decide how many tables the data belongs in, which column becomes a key, and what identifies an account internally; the loading is where those decisions get tested. \\  \\ Map the customer-facing account reference the orders carry onto whatever identifies an account internally, which is the mapping the Trade REST API performs in Sprint 6. \\  \\ Use symbols the Fauxnance API actually serves, so quotes resolve in Sprint 7 without a second pass over your own data. \\  \\ Keep the volumes small enough to read and large enough to be worth querying; six accounts and a dozen instruments go further than a generated thousand. \\  \\ *Notes:* \\  \\ * Every state in the coverage list exists to make an error path reachable somewhere later in the programme. An account that can afford everything makes the insufficient-funds rejection in Sprint 6 unreachable, and an instrument that always trades hides the check beside it. \\ * Sprint 4 and Sprint 7 both read this data. Thin seed data is a fortnight of friction later.",Sprint 3,,S3 Trade Database
LEAP1T1,The Six Named Queries and the Index Justifications,Story,Medium,"*Acceptance Criteria:* \\  \\ * The six named queries are written in SQL, run against the loaded data, and return sensible answers. \\ * At least three indexes exist and each is justified by one of the named queries, in design/indexes.md. \\  \\ *Tasks:* \\  \\ Write the six queries from the brief and run EXPLAIN ANALYZE on each before and after adding an index. \\  \\ Justify three indexes against three of queries 1 to 5: name the query, state what the plan does with and without the index, and say what the index costs on write. \\  \\ Record any query that needs no new index because a key you already declared serves it, with the plan that proves it. \\  \\ Answer query 6 with a window function or a common table expression; it earns no index and is brought to the review. \\  \\ *Notes:* \\  \\ * An index is paid for on every insert and every update to the columns it covers, and orders is the most write-heavy table you have. \\ * It seemed likely to help is not a justification.",Sprint 3,,S3 Trade Database
LEAP1T1,Historical Trade Data Design (DESIGN.md),Story,Medium,"*Acceptance Criteria:* \\  \\ * DESIGN.md covers what is retained about an executed trade beyond what the order carries, at what grain, how it is populated and by which component. \\ * It covers how the Sprint 7 extract pulls incrementally rather than scanning the whole history, how the design behaves at a hundred times the volume, and what it costs on write and in operational complexity. \\  \\ *Tasks:* \\  \\ Write two pages in DESIGN.md covering retention grain, population, incremental extraction, growth and cost. \\  \\ State a position on partitioning, archival and retention, or make a defensible argument that none of it is needed yet. \\  \\ *Notes:* \\  \\ * Reduced for this cohort to a documented design rather than a built implementation. It is discussed at the design review, and a decision you can defend beats a diagram nobody can explain.",Sprint 3,,S3 Trade Database
LEAP1T1,Duplicate Key and Orphan Row Refused by the Database,Story,Medium,"*Acceptance Criteria:* \\  \\ * A second insert carrying an idempotency key that already exists is refused by the database with SQLSTATE 23505. \\ * An insert referencing a parent row that does not exist is refused by the database with SQLSTATE 23503. \\  \\ *Tasks:* \\  \\ Write the two inserts once the first migration exists and keep them beside the migrations, so anyone on the team can reproduce either refusal. \\  \\ Run them against a scratch database built from the migration and seed files rather than against the one your team is working in. \\  \\ *Notes:* \\  \\ * Both refusals belong to the database. An application check that produces the same message is a different thing, and it stops holding the moment a second process writes. \\ * Getting both is necessary and not sufficient. Neither tells you whether the schema is in third normal form or whether an index is justified rather than merely present.",Sprint 3,,S3 Trade Database
LEAP1T1,Analytics & Ingestion Pipeline (Python),Epic,Medium,"*Acceptance Criteria:* \\  \\ * Three or more business claims, each supported by a chart a non-technical reader can read unaided. \\ * Ingestion is separated into extract, transform and load functions, in three modules of one installable Python project. \\ * Fauxnance candles are pulled through GET /candles/{symbol} with the key read from the environment, and pytest covers at least the transform including one malformed-input case. \\  \\ *Notes:* \\  \\ * No project skeleton ships with this sprint. The team sets one up; the fixtures and the malformed payload are provided. \\ * The symbol universe must include at least two NSE or BSE instruments so that the cohort analyses a market it knows. \\ * The test suite never touches the network. fixtures/ holds three canned responses in the real envelope shape, one of them deliberately corrupted. \\ * Sprint 7 extends this project rather than replacing it, so choose libraries you are willing to live with for the rest of the programme. \\ * Security focus: validation and data quality checks (OWASP A08), and a key that is read from the environment and never reaches the repository.",Sprint 4,S4 Analytics & ETL,
